Time,190-AT1001-AirTemp,990-PC-1101A-H1,990-PC-1101B-H2,990-PC-1102-H1,990-PT-1104A (barg),990-PT-1104B (barg),990-PT-1104C (barg),990-PSHL-1100,990-LT-1131 (mm),990-LT-1132 (mm),990-LT-1133 (mm),990-LT-1134 (mm),990-LT-1135 (mm),990-PT-1109 (barg),190-ZSL-1102,190-ZSH-1102,190-ZSI-1102,190-ZT-1102 (%),990-PT-1129 (barg),190-ZSL-1101,190-ZSH-1101,190-ZSI-1101,190-ZT-1101 (%),
2020.04.01 05:32:28.074,,,,,,,175.87185668945,,,,,,,,,,,,,,,,,
2020.04.01 05:32:34.071,,,,,,,,,,,,,,,,,,,176.65048217773,,,,,
2020.04.01 05:33:49.082,,,,,175.83442687988,,,,,,,,,,,,,,,,,,,
2020.04.01 05:34:43.082,1,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:35:05.089,,,,,,,,,,,,,,175.40019226074,,,,,,,,,,
2020.04.01 05:35:35.077,,,,,,,,,,,,,,,,,,,176.74032592773,,,,,
2020.04.01 05:36:04.085,,,,,,,,,,745.65625,,,,,,,,,,,,,,
2020.04.01 05:37:43.088,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:37:57.091,,,,,,175.71463012695,,,,,,,,,,,,,,,,,,
2020.04.01 05:37:59.085,,,,,,,175.92425537109,,,,,,,,,,,,176.85261535645,,,,,
2020.04.01 05:38:12.091,,,,,,,,,,,,,,175.49003601074,,,,,,,,,,
2020.04.01 05:39:43.006,1.2000000476837,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:39:55.089,,,,,175.90179443359,,,,,,,,,,,,,,,,,,,
2020.04.01 05:40:24.090,,,,,,,,,,,,,,,,,,,176.97241210938,,,,,
2020.04.01 05:41:15.011,,,,,,,,,,,,,,175.58735656738,,,,,,,,,,
2020.04.01 05:41:53.015,,,,,,,175.99913024902,,,,,,,,,,,,,,,,,
2020.04.01 05:42:13.013,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:42:32.013,,,,,,175.77452087402,,,,,,,,,,,,,,,,,,
