Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 02:52:33.019,,,,,,,,,,,,158.83195495606,,,,,,,,,,
2020.04.01 02:56:43.051,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:57:49.064,,,,,,,,,,,,,,,,,169.70275878906,,,,,
2020.04.01 02:58:24.066,,,,,164.46949768066,,,,,,,,,,,,,,,,,
2020.04.01 02:58:54.055,,,,,,,164.19248962402,,,,,,,,,,,,,,,
2020.04.01 03:00:13.061,1.2000000476837,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:00:59.058,,,,,,164.33473205566,,,,,,,,,,,,,,,,
2020.04.01 03:01:15.066,,,,,,,,,,,,158.77954101563,,,,,,,,,,
2020.04.01 03:03:10.019,,,,,,,,,,,,,,,,,169.74766540527,,,,,
2020.04.01 03:03:29.058,,,,,,,,,,,720.55053710938,,,,,,,,,,,
2020.04.01 03:04:21.064,,,,,164.44703674316,,,,,,,,,,,,,,,,,
2020.04.01 03:07:43.077,1.1000000238419,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:07:57.075,,,,,,,,,,,,158.73461914063,,,,,,,,,,
2020.04.01 03:09:09.080,,,,,,,,,,,,,,,,,169.78511047363,,,,,
2020.04.01 03:09:16.086,,,,,,164.37216186523,,,,,,,,,,,,,,,,
2020.04.01 03:11:13.096,1.2000000476837,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:14:43.090,1.1000000238419,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:14:56.086,,,,,164.46200561523,,,,,,,,,,,,,,,,,
2020.04.01 03:15:43.089,,,,,,,,,,,,,,,,,169.81504821777,,,,,
2020.04.01 03:24:13.032,1,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:32:32.032,,,,,,,,,,,720.62329101563,,,,,,,,,,,
2020.04.01 03:33:13.059,0.89999997615814,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:34:13.049,1,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:37:13.057,0.89999997615814,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:38:54.046,,,,,,,,,,,,,,,,,169.74766540527,,,,,
2020.04.01 03:44:20.051,,,,,,,,,,,,,,,,,169.6877746582,,,,,
2020.04.01 03:44:23.063,,,,,,,,,,,,158.69718933106,,,,,,,,,,
2020.04.01 03:45:13.052,0.80000001192093,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:47:13.046,0.69999998807907,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:47:27.057,,,,,,,,,,,720.55053710938,,,,,,,,,,,
2020.04.01 03:48:01.068,,,,,164.42457580566,,,,,,,,,,,,169.5979309082,,,,,
2020.04.01 03:49:48.071,,,,,,164.33473205566,,,,,,,,,,,,,,,,
2020.04.01 03:51:47.071,,,,,,,,,,,,,,,,,169.50061035156,,,,,
2020.04.01 03:52:23.079,,,,,,,164.14756774902,,,,,,,,,,,,,,,
2020.04.01 03:54:13.083,0.60000002384186,,,,,,,,,,,,,,,,,,,,,
